17-FEB-2021 03:25:29	-25.09	-71.07	4.2	10	CERCA DE LA COSTA EN NORTE DE CHILE
17-FEB-2021 02:33:41	38.35	22.05	4.3	10	GRECIA
16-FEB-2021 22:07:22	38.35	141.94	4.6	45	CERCA LA COSTA E. DE HONSHU, JAPóN
16-FEB-2021 20:36:52	11.99	94.50	4.7	10	ISLAS ANDAMAN, INDIA REGIÓN
16-FEB-2021 19:09:41	-2.92	139.22	5.3	47	COSTA NORTE DE IRIAN JAYA
16-FEB-2021 16:49:37	-24.30	-179.15	4.9	502	AL SUR DE LAS ISLAS FIJI
16-FEB-2021 16:16:04	-17.74	167.49	4.9	10	ISLAS VANUATU
16-FEB-2021 16:12:17	-17.66	167.41	5.0	13	ISLAS VANUATU
16-FEB-2021 15:57:56	29.98	131.13	4.9	21	AL SURESTE DE LAS ISLAS RYUKYU
16-FEB-2021 15:54:07	-18.89	-173.61	5.3	10	ISLAS TONGA
16-FEB-2021 15:48:01	-7.07	129.70	4.1	147	MAR BANDA
16-FEB-2021 14:20:47	9.26	127.04	4.5	10	REGIÓN DE LAS ISLAS FILIPINAS
16-FEB-2021 13:59:32	37.98	140.78	4.3	54	ORIENTAL HONSHU, JAPóN
16-FEB-2021 09:55:32	52.06	156.99	5.3	152	PENíNSULA DE KAMCHATKA, RUSIA
16-FEB-2021 08:42:11	-6.08	112.17	5.1	600	JAVA, INDONESIA
16-FEB-2021 08:07:23	-15.69	167.83	5.1	102	ISLAS VANUATU
16-FEB-2021 08:00:59	2.21	-101.81	4.7	10	GALAPAGOS TRIPLE JUNCTION REGION
16-FEB-2021 06:46:26	-21.18	-67.27	4.4	196	CHILE-BOLIVIA FRONTERA REGIÓN
16-FEB-2021 06:42:01	-13.36	166.84	5.1	53	ISLAS VANUATU
